Location,Net Annual Sales,Number of Female Employees,,,,,Sales Range,Frequency,,Sales Quantile,
"Millburn, NJ",150803012,27,,Mean Sales,171603750.1,,Below 100M,1,,First Quartile (Q1),145019084
"Los Angeles, CA",110872084,17,,Median Sales,170130716.5,,100M-150M,5,,Second Quartile (Median),170130716.5
"Houston, TX",183945873,22,,Sample Standard Deviation,50152290.42,,150M-200M,13,,Third Quartile (Q3),182351823.8
"Miami, FL",156355396,18,,Correlation,0.104579853,,200M-250M,0,,,
"San Mateo, CA",143108603,17,,,,,Above 250M,1,,Interquartile Range (IQR),37332739.75
"Seattle, WA",142755480,33,,,,,,,,Lower Outlier Limit,89019974.38
Arlington VA,144772604,28,,,,,,,,Upper Outlier Limit,238350933.4
"Portland, OR",179608438,32,,,,,,,,,
"Reno, NV",145101244,19,,,,,,,,,
"Chicago, IL",171491596,24,,,,,,,,,
"Atlanta, GA",198386988,27,,,,,,,,,
"Orlando, FL",180188054,24,,,,,,,,,
"Jacksonville, FL",158479693,32,,,,,,,,,
"Round Rock, TX",181820474,27,,,,,,,,,
"Phoenix, AZ",95512810.7,18,,,,,,,,,
"Charlotte, NC",199653776,32,,,,,,,,,
"Philadelphia, PA",193111679,31,,,,,,,,,
"Kansas City, MO",176816637,35,,,,,,,,,
"Dallas, TX",168769837,33,,,,,,,,,
"Boston, MA",350520724,20,,,,,,,,,
